bodyPositionTime,bodyPositionX,bodyPositionY,bodyPositionZ,bodyOrientationTime,bodyOrientationX,bodyOrientationY,bodyOrientationZ,gyroTime,gyroX,gyroY,gyroZ,cycleFrequencyTime,leftCycleFrequency,rightCycleFrequency,bodyforceTime,bodyforceX,bodyforceY,bodyforceZ,bodytorqueTime,bodytorqueX,bodytorqueY,bodytorqueZ,R1forceTime,R1forceX,R1forceY,R1forceZ,R1torqueTime,R1torqueX,R1torqueY,R1torqueZ,L1forceTime,L1forceX,L1forceY,L1forceZ,L1torqueTime,L1torqueX,L1torqueY,L1torqueZ
950,0.20893386006355286,0.000535359198693186,0.007102323230355978,960,0.02275710180401802,0.0046418593265116215,-0.013276580721139908,970,0.18693606555461884,0.0008273948333226144,0.007212504278868437,940,5,5,980,-0.00048114359378814697,0.0004070947761647403,-0.025949396193027496,980,4.825288897336577e-07,0.0010769495274871588,2.4037017283262685e-05,1000,-5.326000973582268e-06,1.0267249308526516e-06,-5.240552127361298e-06,1000,4.239846020936966e-07,3.247987478971481e-08,-4.246830940246582e-07,990,4.155561327934265e-06,3.5231932997703552e-06,-3.3117830753326416e-06,990,0.0,0.0,0.0
1160,0.20892144739627838,0.0005558288539759815,0.0070162611082196236,1170,-0.0011471185134723783,-9.902147576212883e-05,-0.01029684953391552,1180,0.18738557398319244,0.0008127165492624044,0.006754020228981972,950,5,5,1190,0.013485966250300407,-0.004490092396736145,-0.032153159379959106,1190,-7.689572498748021e-07,0.0015117625007405877,-0.0003059549489989877,1210,-1.1754513252526522e-05,-3.558176103979349e-06,-1.4740508049726486e-06,1210,1.210719347000122e-07,1.0186340659856796e-09,-9.409850463271141e-07,1200,3.515882417559624e-05,2.405606210231781e-05,7.90320336818695e-06,1200,4.656612873077393e-10,0.0,0.0
1270,0.22544138133525848,0.0015221582725644112,0.014852062799036503,1280,0.07127241045236588,-0.043567851185798645,-0.03691395744681358,1290,0.20401965081691742,0.002508311066776514,0.010740070603787899,1160,5,5,1300,0.060980550944805145,-0.009055912494659424,-0.04526814445853233,1300,8.591642654209863e-06,0.0027954240795224905,-0.0006879915599711239,1320,-3.201974323019385e-05,-5.8165984228253365e-05,1.636054366827011e-05,1320,-1.3095559552311897e-06,1.9615981727838516e-08,-2.5313347578048706e-06,1310,1.927337325469125e-05,-3.116158040938899e-06,-3.833509981632233e-05,1310,3.4906406654044986e-09,-8.36735125631094e-11,-3.4924596548080444e-09
1370,0.23811346292495728,0.00336168659850955,0.019131457433104515,1380,0.10576800256967545,-0.17263421416282654,0.03325190022587776,1390,0.217478945851326,0.00364801287651062,0.0125180184841156,1270,5,5,1400,0.09762687981128693,-0.008002625778317451,-0.034255508333444595,1400,-7.446451490977779e-07,0.0021789937745779753,-0.000758124515414238,1420,1.5729305232525803e-05,1.0581887181615457e-05,-1.2704855180345476e-05,1420,1.0155063137062825e-06,-1.2732925824820995e-10,1.2594355212058872e-06,1410,-3.595056477934122e-05,7.143616676330566e-05,-4.684785380959511e-06,1410,-1.1641532182693481e-10,-5.587935447692871e-09,-1.1175870895385742e-08
1480,0.2524837255477905,0.005126957315951586,0.01139522809535265,1490,0.036560092121362686,0.0028358339332044125,-0.034956224262714386,1500,0.23136094212532043,0.005861036479473114,0.010623903013765812,1370,5,5,1510,0.089096300303936,-0.0023175545502454042,-0.03498079627752304,1510,1.5067505955812521e-05,0.002672704868018627,-0.00010264445882057771,1530,-2.9370654374361038e-05,-3.6784796975553036e-05,-7.662363350391388e-05,1530,6.218673661351204e-06,-7.532071322202682e-08,-2.345070242881775e-06,1520,-1.1710569197020959e-05,4.027262912131846e-05,-2.4042332370299846e-05,1520,-3.6579876905307174e-09,-3.2887328416109085e-09,-5.980837158858776e-09
1580,0.26309776306152344,0.0036733075976371765,0.014898024499416351,1590,-0.06730187684297562,-0.13837754726409912,0.04145582765340805,1600,0.24229371547698975,0.0025511551648378372,0.010133972391486168,1480,5,5,1610,0.06281553208827972,-0.013257097452878952,-0.03856489062309265,1610,1.265602077182848e-05,0.0032941994722932577,-0.0014175872784107924,1630,3.734903293661773e-05,1.611932020750828e-06,7.752241799607873e-06,1630,-6.186583050293848e-07,-1.1183146852999926e-08,2.99280509352684e-06,1620,-3.6311594158178195e-05,8.090057235676795e-05,-2.2973865270614624e-05,1620,-1.6061676433309913e-08,-5.136826075613499e-09,-1.5832483768463135e-08
1680,0.2778141498565674,0.0012447803746908903,0.010090222582221031,1690,0.026206281036138535,-0.014075210317969322,-0.050992388278245926,1700,0.25616973638534546,0.0029133835341781378,0.009125251322984695,1580,5,5,1710,0.04761696606874466,-0.006323475390672684,-0.036061886698007584,1710,4.645713033823995e-06,0.0034070711117237806,-0.0007618811214342713,1730,-3.669453872134909e-05,-3.891141386702657e-05,-7.455796003341675e-05,1730,6.0520978877320886e-06,-8.597271516919136e-08,-2.93925404548645e-06,1720,-2.0078663510503247e-05,1.6359990695491433e-05,-4.1519582737237215e-05,1720,3.6052369978278875e-09,-4.598405212163925e-09,-7.741618901491165e-09
1780,0.2872868776321411,-0.0005239108577370644,0.01571386680006981,1790,-0.02741936966776848,-0.17510724067687988,0.07218154519796371,1800,0.2668565511703491,-0.0019183019176125526,0.010219322517514229,1680,5,5,1810,0.0690765455365181,0.000320445338729769,-0.037316471338272095,1810,-4.304614776629023e-06,0.0036881817504763603,5.373958993004635e-05,1830,5.8212666772305965e-05,1.8101418390870094e-05,-5.5399490520358086e-05,1830,4.434725269675255e-06,-1.979060471057892e-08,4.656612873077393e-06,1820,-2.828981087077409e-05,0.00014220038428902626,-6.660318467766047e-05,1820,-6.402842700481415e-10,-6.05359673500061e-09,-1.4551915228366852e-08
1880,0.3038352131843567,-0.0004493469023145735,0.010548818856477737,1890,0.0005478316452354193,-0.038820456713438034,-0.01710761897265911,1900,0.2822028696537018,0.00025109417038038373,0.008612185716629028,1780,5,5,1910,0.07435618340969086,-0.00013030522677581757,-0.03362547978758812,1910,-2.482081299604033e-06,0.0035501751117408276,1.9454630091786385e-05,1930,-1.5806523151695728e-05,-3.085681237280369e-05,-7.338915020227432e-05,1930,5.971873179078102e-06,-5.5530108511447906e-08,-1.2600794434547424e-06,1920,-2.620763007143978e-05,1.8206126696895808e-05,-3.0927592888474464e-05,1920,3.499735612422228e-09,-2.788510755635798e-09,-8.440110832452774e-09
1980,0.3145354688167572,-0.0030366869177669287,0.01903606578707695,1990,0.10090038180351257,-0.07378490269184113,-0.06600266695022583,2000,0.29355931282043457,-0.0009579192847013474,0.014068624004721642,1880,5,5,2010,0.0527644157409668,-0.005556066054850817,-0.02228017896413803,2010,1.1364335477992427e-05,0.0021492342930287123,-0.0008297418826259673,2030,1.8291291780769825e-05,1.4468416338786483e-05,-8.706818334758282e-05,2030,6.966409273445606e-06,-1.6007106751203537e-09,1.4614779502153397e-06,2020,-2.4016480892896652e-05,8.19554552435875e-05,-7.929466664791107e-05,2020,-1.5555997379124165e-08,-9.080395102500916e-09,-8.731149137020111e-09
2080,0.32675132155418396,-0.0017859931103885174,0.013233956880867481,2090,0.06732051819562912,-0.07854792475700378,-0.05476445332169533,2100,0.30552786588668823,-0.00042379600927233696,0.009830642491579056,1980,5,5,2110,0.0738431066274643,0.0043882327154278755,-0.029624182730913162,2110,-1.0393627235316671e-05,0.00342845288105309,0.0006842345464974642,2130,-1.4991645002737641e-05,-3.957211447414011e-05,-6.781984120607376e-05,2130,5.474968929775059e-06,-5.7800207287073135e-08,-1.1809170246124268e-06,2120,-1.2451477232389152e-05,3.57296084985137e-06,-2.580533328000456e-05,2120,3.637978807091713e-11,-9.89530235528946e-10,-1.8335413187742233e-09
2180,0.3418971300125122,-0.0011535619851201773,0.014903690665960312,2190,-0.05438731238245964,-0.1098756343126297,0.05883238464593887,2200,0.3203078508377075,-0.001599266310222447,0.008951840922236443,2080,5,5,2210,0.05119550973176956,-0.0012017465196549892,-0.029232077300548553,2210,6.642568678216776e-06,0.003511001355946064,-0.0003041103482246399,2230,-8.275092113763094e-07,1.3403347111307085e-05,-9.847944602370262e-05,2230,7.884867954999208e-06,-5.471520125865936e-09,-6.670597940683365e-08,2220,-5.293269350659102e-05,0.00011246628127992153,-5.3501222282648087e-05,2220,-9.604264050722122e-10,-1.1408701539039612e-08,-2.3283064365386963e-08
2280,0.3562984764575958,-0.0003562403144314885,0.015377509407699108,2290,-0.009762118570506573,-0.08116196095943451,-0.05752439796924591,2300,0.3351607620716095,-0.00021331221796572208,0.009671282023191452,2180,5,5,2310,0.08720710128545761,0.0005727242678403854,-0.027659744024276733,2310,-1.536892341391649e-05,0.003372478997334838,0.00021408218890428543,2330,-2.020243846345693e-05,-3.396088504814543e-05,-5.4010190069675446e-05,2330,4.368463123682886e-06,-3.5517587093636394e-08,-1.603737473487854e-06,2320,1.4124379958957434e-05,3.6355340853333473e-06,-2.0161329302936792e-05,2320,1.4551915228366852e-10,-5.820766091346741e-09,-7.188646122813225e-09
2380,0.37156322598457336,-0.0030532064847648144,0.01430070772767067,2390,-0.05296948552131653,-0.12618513405323029,0.06026894599199295,2400,0.3502199053764343,-0.003874523099511862,0.00952848605811596,2280,5,5,2410,0.09756515920162201,-0.009029585868120193,-0.03241487219929695,2410,9.814983059186488e-06,0.00412448775023222,-0.0016815991839393973,2430,-2.7448550099506974e-07,-8.404018444707617e-06,7.741618901491165e-06,2430,-6.208065315149724e-07,-9.567884262651205e-09,-2.468004822731018e-08,2420,-8.449901361018419e-05,0.00013036420568823814,-6.143981590867043e-05,2420,-9.313225746154785e-10,-1.6996636986732483e-08,-4.0046870708465576e-08
2480,0.38792991638183594,-0.003861780744045973,0.014172909781336784,2490,0.005476790014654398,-0.03681369498372078,-0.10473207384347916,2500,0.3666132986545563,-0.0026083970442414284,0.009503570385277271,2380,5,5,2510,0.1397864669561386,0.011311535723507404,-0.02115117944777012,2510,-1.1188739335921127e-05,0.0023067838046699762,0.0022163281682878733,2530,-1.482921652495861e-05,-4.087691195309162e-05,-3.357604146003723e-05,2530,2.7371570467948914e-06,-2.1420419216156006e-08,-1.1632218956947327e-06,2520,4.338246071711183e-06,1.399137545377016e-06,-2.2613152395933867e-05,2520,2.9103830456733704e-11,-4.656612873077393e-10,1.4551915228366852e-11
2580,0.40133005380630493,-0.007004367187619209,0.018152736127376556,2590,-0.012409004382789135,-0.19005906581878662,-0.07677818089723587,2600,0.3798171281814575,-0.004750828258693218,0.01075213123112917,2480,5,5,2610,0.0347013846039772,-0.013113024644553661,-0.02709360234439373,2610,-3.1400395528180525e-06,0.00399122154340148,-0.0030397442169487476,2630,1.416041050106287e-05,2.0670238882303238e-05,-5.7611847296357155e-05,2630,4.6121422201395035e-06,-2.9103830456733704e-09,1.1317897588014603e-06,2620,-2.3899345251265913e-05,7.754773832857609e-05,-4.99580055475235e-05,2620,-1.573789631947875e-08,-6.984919309616089e-09,-9.778887033462524e-09
2680,0.41394758224487305,-0.006447631400078535,0.010814820416271687,2690,0.02624460682272911,0.011687645688652992,-0.11967654526233673,2700,0.39258405566215515,-0.003774946089833975,0.011686964891850948,2580,5,5,2710,0.08369534462690353,0.018420511856675148,-0.02455608732998371,2710,1.0444870895298664e-05,0.0032469765283167362,0.003918173257261515,2730,-3.6426354199647903e-06,-3.7688761949539185e-05,-4.906393587589264e-05,2730,3.9853621274232864e-06,-4.260800778865814e-08,-2.654269337654114e-07,2720,-4.6189583372324705e-05,4.530919250100851e-05,-5.131895886734128e-05,2720,8.09086486697197e-09,-1.4435499906539917e-08,-2.5203917175531387e-08
